Faculty,Partner University,PU Module 1,PU Module 1 Title,PU Mod1 Credits,PU Module 2,PU Module 2 Title,PU Mod2 Credits,NUS Module 1,NUS Module 1 Title,NUS Mod1 Credits,NUS Module 2,NUS Module 2 Title,NUS Mod2 Credits,Pre Approved?,Country,Continent,Department 1,Department 2,Level
NUS Business School,"Aalto University, Helsinki",28E34100,PROJECT WORK,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",35C00200,PURCHASING & SUPPLY MANAGEMENT,6,,,,DOS3761X,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35C00200,PURCHASING & SUPPLY MANAGEMENT,6,,,,DOS3761Y,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35E00500,QUALITY LEADERSHIP,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",35E00500,QUALITY LEADERSHIP,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",35E00500,QUALITY LEADERSHIP,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",21E06050,RESPONSIBILITY MANAGEMENT,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",21E06050,RESPONSIBILITY MANAGEMENT,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",21E06050,RESPONSIBILITY MANAGEMENT,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",23C77000,"SALES, SELLING AND SALESWORK",6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",LOGISTIC35E08000,Service Business Models,6,,,,DOS3761Z,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",LOGISTIC35E00100,Service Operations and Strategy,1,,,,DOS3703,Service Operations Management,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",23C550,SERVICES MARKETING,6,,,,MKT3711,Services Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E2100,STRATEGIC MARKETING AND COMPANY PERFORMANCE,6,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",35E03000,Sustainable Supply Chains,6,,,,DOS3714,Sustainable Operations Mgt,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",27C01000,TOOLS FOR BUSINESS DECISIONS 1,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",DSCTU221179,Tp in ops and supply chain management,6,,,,DOS3761X,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",28E00600,VENTURE CAPITAL,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",FIN28E00600,Venture Capital,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",25E44000,VENTURE FORMATION,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C633,BRAND MANAGEMENT,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C704,BUSINESS CONSULTING IN THE GLOBAL ECONOMY,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C662,COMPARATIVE CONSUMER BEHAVIOR,6,,,,MKT3702,Consumer Behaviour,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C730,CONSUMER CULTURE,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI28C060,CORPORATE FINANCE,6,,,,FIN2704,Finance,4,,,,Y,Finland,Europe,FIN,,2
NUS Business School,"Aalto University, Mikkeli",MLI28C060,CORPORATE FINANCE,6,,,,FIN2704X,Finance,4,,,,Y,Finland,Europe,FIN,,2
NUS Business School,"Aalto University, Mikkeli",MLI26C685,CORPORATE SOCIAL RESPONSIBILITY,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C683,DESIGN COMMUNICATION IN INTERNATIONAL BUSINESS,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C718,DIGITAL MARKETING STRATEGIES,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C716,DOING BUSINESS IN THE BALTIC SEA REGION,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C676,EMERGING ECONOMY OF CHINA,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C600,ENTREPRENEURSHIP IN THE GLOBAL ECONOMY,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI21C715,GLOBAL SUPPLY NETWORKS,6,,,,DOS3701,Supply Chain Management,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C722,INNOVATION MANAGEMENT IN THE MULTINATIONAL CORPORATION,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C664,INTERCULTURAL MANAGEMENT,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C679,INTERCULTURAL NEGOTIATIONS,6,,,,MNO3702,Negotiation and Conflict Mgt,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C653,INTERNATIONAL BUSINESS STRATEGY,6,,,,BSP3701,Strategic Management,4,,,,Y,Finland,Europe,BSP,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C681,INTERNATIONAL BUSINESS TO BUSINESS MARKETING,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C717,INTERNATIONAL CUSTOMER SERVICE MANAGEMENT,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C643,INTERNATIONAL FINANCE,6,,,,FIN3711,International Financial Mgt,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C651,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,6,,,,MNO3701,Human Capital Management,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C010,INTERNATIONAL MARKETING,6,,,,MKT3721,Global Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C652,INTERNATIONAL ORGANIZATIONAL BEHAVIOUR,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C660,INTERNATIONAL SALES MANAGEMENT,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C720,INVESTMENTS AND PORTFOLIO MANAGEMENT,6,,,,FIN3702,Inv. Analysis & Portfolio Mgt,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C684,MANAGEMENT CULTURE AND COMMUNICATION,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C680,MANAGEMENT INFORMATION SYSTEMS IN INTERNATIONAL BUSINESS,6,,,,DOS3761X,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Mikkeli",MLI26C726,MANAGERIAL ACCOUNTING FOR GLOBAL BUSINESS,6,,,,ACC2706,Managerial Accounting,4,,,,Y,Finland,Europe,ACC,,2
NUS Business School,"Aalto University, Mikkeli",MLI28A010,MANAGERIAL FINANCE,6,,,,FIN3701,Corporate Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Mikkeli",MLI21C617,OPERATIONS MANAGEMENT,6,,,,DAO2703,Operations and Technology Mana,4,,,,Y,Finland,Europe,DAO,,2
NUS Business School,Aarhus School of Business,460181U011,Advertising and Social Media Strategy,5,,,,MKT3718,Advertising & Promotion Mgt,4,,,,Y,Denmark,Europe,MKT,,3
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Denmark,Europe,MNO,,3
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Denmark,Europe,MNO,,3
NUS Business School,Aarhus School of Business,410161U004,Aspects of Denmark,5,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Denmark,Europe,MNO,,3
NUS Business School,Aarhus School of Business,460152U046,BANK MANAGEMENT,5,,,,FIN3713,Bank Management,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,4620000000,BASIC FINANCIAL ACCOUNTING,5,,,,ACC1701X,Accounting for Decision Makers,4,,,,Y,Denmark,Europe,ACC,,1
NUS Business School,Aarhus School of Business,BIZ-DO-ZXY1460,Behavioral and Experimental Finance,5,,,,FIN3761Y,Topics in Finance,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,4.60E+137,BEHAVIORAL FINANCE,5,,,,FIN3703,Financial Markets,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,460161U047,Behavioural Finance,5,,,,FIN3703,Financial Markets,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,410151U019,Communication in a Global Perspective,10,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Denmark,Europe,MNO,,3
NUS Business School,Aarhus School of Business,460181U002,CONSUMER NEUROSCIENCE/ NEUROMARKETING,5,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Denmark,Europe,MKT,,3
NUS Business School,Aarhus School of Business,4620000000,CORPORATE FINANCE I,5,,,,FIN3701,Corporate Finance,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,4620000000,CORPORATE FINANCE II,5,,,,FIN3702,Inv. Analysis & Portfolio Mgt,4,,,,Y,Denmark,Europe,FIN,,3
NUS Business School,Aarhus School of Business,460162U018,Corporate Valuation,10,,,,FIN3761Z,Topics in Finance,10,,,,Y,Denmark,Europe,FIN,,3
